No.,Company Name,Stock Price,Market Cap,Symbol,Industry
304,Ubiquiti Inc.,779.92,47.20B,UI,Communication Equipment
305,Woodside Energy Group Ltd,24.78,46.98B,WDS,Oil & Gas Exploration & Production
306,Public Storage,266.01,46.69B,PSA,REIT - Industrial
307,"ASE Technology Holding Co., Ltd.",21.50,46.67B,ASX,Semiconductors
308,"Nasdaq, Inc.",81.48,46.32B,NDAQ,Financial Data & Stock Exchanges
309,"Teradyne, Inc.",295.61,46.28B,TER,Semiconductor Equipment & Materials
310,"United Rentals, Inc.",734.30,46.26B,URI,Rental & Leasing Services
311,Edwards Lifesciences Corporation,79.34,46.08B,EW,Medical Devices
312,Sea Limited,78.16,46.04B,SE,Internet Retail
313,Coherent Corp.,243.48,45.65B,COHR,Scientific & Technical Instruments
314,Cameco Corporation,103.92,45.60B,CCJ,Uranium
315,Carrier Global Corporation,54.25,45.34B,CARR,Building Products & Equipment
316,Ford Motor Company,11.37,45.30B,F,Auto Manufacturers
317,Ferrovial SE,62.56,45.16B,FER,Engineering & Construction
318,AngloGold Ashanti plc,89.17,45.03B,AU,Gold
319,The Kroger Co.,73.22,44.96B,KR,Grocery Stores
320,Nokia Oyj,7.98,44.55B,NOK,Communication Equipment
321,"IDEXX Laboratories, Inc.",558.32,44.46B,IDXX,Diagnostics & Research
322,Garmin Ltd.,230.16,44.30B,GRMN,Scientific & Technical Instruments
323,Banco Macro S.A.,69.26,44.26B,BMA,Banks - Regional
324,"MetLife, Inc.",67.70,44.14B,MET,Insurance - Life
325,"Becton, Dickinson and Company",154.51,44.00B,BDX,Medical Instruments & Supplies
326,Ferguson Enterprises Inc.,224.76,43.95B,FERG,Industrial Distribution
327,Franco-Nevada Corporation,233.95,43.91B,FNV,Gold
328,Ambev S.A.,2.810,43.88B,ABEV,Beverages - Brewers
329,Haleon plc,9.80,43.65B,HLN,Drug Manufacturers - Specialty & Generic
330,The Hershey Company,213.73,43.32B,HSY,Confectioners
331,Carvana Co.,302.04,43.11B,CVNA,Auto & Truck Dealerships
332,"Venture Global, Inc.",17.53,43.07B,VG,Oil & Gas Midstream
333,argenx SE,691.40,42.79B,ARGX,Biotechnology
334,"Yum! Brands, Inc.",153.96,42.56B,YUM,Restaurants
335,"Coinbase Global, Inc.",161.14,42.55B,COIN,Financial Data & Stock Exchanges
336,"Delta Air Lines, Inc.",64.83,42.34B,DAL,Airlines
337,EQT Corporation,67.55,42.17B,EQT,Oil & Gas Exploration & Production
338,"Alnylam Pharmaceuticals, Inc.",317.36,42.09B,ALNY,Biotechnology
339,Strategy Inc,126.03,42.06B,MSTR,Software - Application
340,Diageo plc,74.07,41.23B,DEO,Beverages - Wineries & Distilleries
341,Coca-Cola Europacific Partners PLC,91.64,41.15B,CCEP,Beverages - Non-Alcoholic
342,Westinghouse Air Brake Technologies Corporation,241.11,41.11B,WAB,Railroads
343,Elbit Systems Ltd.,869.82,40.40B,ESLT,Aerospace & Defense
344,"Datadog, Inc.",114.48,40.36B,DDOG,Software - Application
345,"Consolidated Edison, Inc.",111.68,40.34B,ED,Utilities - Regulated Electric
346,Public Service Enterprise Group Incorporated,80.71,40.25B,PEG,Utilities - Regulated Electric
347,"Chipotle Mexican Grill, Inc.",30.86,40.19B,CMG,Restaurants
348,Thomson Reuters Corporation,89.43,40.18B,TRI,Specialty Business Services
349,Fifth Third Bancorp,44.54,40.17B,FITB,Banks - Regional
350,"PayPal Holdings, Inc.",43.59,40.13B,PYPL,Credit Services
351,"Waste Connections, Inc.",156.02,39.88B,WCN,Waste Management
352,"Ameriprise Financial, Inc.",436.81,39.83B,AMP,Asset Management
353,"Rockwell Automation, Inc.",351.50,39.49B,ROK,Specialty Industrial Machinery
354,eBay Inc.,87.98,39.42B,EBAY,Internet Retail
355,"JD.com, Inc.",28.70,39.35B,JD,Internet Retail
356,"CoreWeave, Inc.",74.81,39.33B,CRWV,Software - Infrastructure
357,"Old Dominion Freight Line, Inc.",188.34,39.25B,ODFL,Trucking
358,Sysco Corporation,81.80,39.18B,SYY,Food Distribution
359,"American International Group, Inc.",72.95,39.14B,AIG,Insurance - Diversified
360,"Ventas, Inc.",81.91,38.90B,VTR,REIT - Healthcare Facilities
361,"CBRE Group, Inc.",131.77,38.89B,CBRE,Real Estate Services
362,"D.R. Horton, Inc.",134.19,38.88B,DHI,Residential Construction
363,"Rocket Companies, Inc.",13.67,38.55B,RKT,Mortgage Finance
364,MSCI Inc.,523.40,38.46B,MSCI,Financial Data & Stock Exchanges
365,ArcelorMittal S.A.,49.62,38.15B,MT,Steel
366,HEICO Corporation,273.39,38.14B,HEI,Aerospace & Defense
367,Telefonaktiebolaget LM Ericsson (publ),11.14,37.56B,ERIC,Communication Equipment
368,Nucor Corporation,163.37,37.39B,NUE,Steel
369,Bloom Energy Corporation,133.24,37.38B,BE,Electrical Equipment & Parts
370,Gold Fields Limited,42.34,37.26B,GFI,Gold
371,"WEC Energy Group, Inc.",114.36,37.23B,WEC,Utilities - Regulated Electric
372,Roblox Corporation,52.31,37.07B,RBLX,Electronic Gaming & Multimedia
373,"Baidu, Inc.",108.12,36.79B,BIDU,Internet Content & Information
374,"The Hartford Insurance Group, Inc.",132.32,36.50B,HIG,Insurance - Diversified
375,Nutrien Ltd.,75.65,36.43B,NTR,Agricultural Inputs
376,Polestar Automotive Holding UK PLC,17.10,36.24B,PSNY,Auto Manufacturers
