No.,Company Name,Stock Price,Market Cap,Symbol,Industry
4521,Pulmonx Corporation,1.170,49.42M,LUNG,Medical Devices
4522,"AXIL Brands, Inc.",7.23,49.18M,AXIL,Consumer Electronics
4523,"Sportsman's Warehouse Holdings, Inc.",1.270,48.87M,SPWH,Specialty Retail
4524,Atlantic American Corporation,2.390,48.75M,AAME,Insurance - Life
4525,Scilex Holding Company,6.41,48.62M,SCLX,Drug Manufacturers - General
4526,"Edesa Biotech, Inc.",5.82,48.59M,EDSA,Biotechnology
4527,Heidmar Maritime Holdings Corp.,0.833,48.47M,HMR,Marine Shipping
4528,"Xilio Therapeutics, Inc.",8.32,48.11M,XLO,Biotechnology
4529,"The Marygold Companies, Inc.",1.120,47.95M,MGLD,Asset Management
4530,"Red Robin Gourmet Burgers, Inc.",2.650,47.90M,RRGB,Restaurants
4531,"Bluerock Homes Trust, Inc.",11.80,47.86M,BHM,REIT - Residential
4532,Streamex Corp.,1.210,47.84M,STEX,Capital Markets
4533,BrilliA Inc,1.912,47.79M,BRIA,Apparel Retail
4534,Concorde International Group Ltd.,1.770,47.76M,CIGL,Security & Protection Services
4535,"PetMed Express, Inc.",2.230,47.72M,PETS,Pharmaceutical Retailers
4536,"Acorn Energy, Inc.",19.00,47.62M,ACFN,Scientific & Technical Instruments
4537,"electroCore, Inc.",5.88,47.53M,ECOR,Medical Devices
4538,"Spectral AI, Inc.",1.490,47.42M,MDAI,Medical Devices
4539,Columbus Acquisition Corp,10.54,47.37M,COLA,Shell Companies
4540,Clipper Realty Inc.,2.930,47.31M,CLPR,REIT - Residential
4541,"Interlink Electronics, Inc.",3.000,47.25M,LINK,Electronic Components
4542,Heritage Global Inc.,1.360,47.25M,HGBL,Capital Markets
4543,Accuray Incorporated,0.396,46.99M,ARAY,Medical Devices
4544,Cineverse Corp.,2.400,46.97M,CNVS,Entertainment
4545,Sachem Capital Corp.,0.979,46.94M,SACH,REIT - Mortgage
4546,XChange TEC.INC,0.910,46.91M,XHG,Insurance Brokers
4547,ESH Acquisition Corp.,12.01,46.87M,ESHA,Shell Companies
4548,"HeartBeam, Inc.",1.140,46.84M,BEAT,Health Information Services
4549,"MarketWise, Inc.",19.13,46.83M,MKTW,Financial Data & Stock Exchanges
4550,Metalpha Technology Holding Limited,1.130,46.72M,MATH,Capital Markets
4551,Dominari Holdings Inc.,2.880,46.72M,DOMH,Capital Markets
4552,Sleep Number Corporation,2.040,46.64M,SNBR,"Furnishings, Fixtures & Appliances"
4553,"Solidion Technology, Inc.",6.00,46.47M,STI,Electrical Equipment & Parts
4554,Nutriband Inc.,3.860,46.45M,NTRB,Biotechnology
4555,Incannex Healthcare Inc.,3.240,46.44M,IXHL,Drug Manufacturers - Specialty & Generic
4556,BGM Group Ltd.,0.470,46.18M,BGM,Drug Manufacturers - Specialty & Generic
4557,Phaos Technology Holdings (Cayman) Limited,1.600,46.13M,POAS,Medical Devices
4558,"Odyssey Marine Exploration, Inc.",0.827,46.12M,OMEX,Other Industrial Metals & Mining
4559,Plutus Financial Group Limited,3.000,46.05M,PLUT,Capital Markets
4560,"Broadwind, Inc.",1.970,45.92M,BWEN,Specialty Industrial Machinery
4561,Cumberland Pharmaceuticals Inc.,3.070,45.92M,CPIX,Drug Manufacturers - Specialty & Generic
4562,Elutia Inc.,1.070,45.78M,ELUT,Medical Devices
4563,Beneficient,3.210,45.63M,BENF,Asset Management
4564,WidePoint Corporation,4.620,45.61M,WYY,Information Technology Services
4565,U.S. Energy Corp.,1.030,45.60M,USEG,Oil & Gas Exploration & Production
4566,"AmpliTech Group, Inc.",1.800,45.60M,AMPG,Communication Equipment
4567,Pyxis Tankers Inc.,4.410,45.58M,PXS,Oil & Gas Midstream
4568,"Precipio, Inc.",25.97,45.50M,PRPO,Diagnostics & Research
4569,"Kezar Life Sciences, Inc.",6.20,45.40M,KZR,Biotechnology
4570,Off The Hook YS Inc.,1.910,45.36M,OTH,Auto & Truck Dealerships
4571,"Lisata Therapeutics, Inc.",5.02,45.34M,LSTA,Biotechnology
4572,IB Acquisition Corp.,10.66,45.30M,IBAC,Shell Companies
4573,OneMedNet Corporation,0.887,45.26M,ONMD,Health Information Services
4574,"Citius Oncology, Inc.",0.512,45.18M,CTOR,Drug Manufacturers - Specialty & Generic
4575,"Alpha Pro Tech, Ltd.",4.400,44.82M,APT,Building Products & Equipment
4576,"Sharps Technology, Inc.",1.580,44.60M,STSS,Medical Instruments & Supplies
4577,Happy City Holdings Limited,1.490,44.36M,HCHL,Restaurants
4578,"Reed's, Inc.",3.740,44.21M,REED,Beverages - Non-Alcoholic
4579,Knorex Ltd.,1.320,44.12M,KNRX,Software - Application
4580,AsiaStrategy,1.760,43.76M,SORA,Luxury Goods
4581,"Elauwit Connection, Inc.",6.61,43.76M,ELWT,Telecom Services
4582,Quetta Acquisition Corporation,11.65,43.64M,QETA,Shell Companies
4583,Franklin Wireless Corp.,3.690,43.48M,FKWL,Communication Equipment
4584,Rallybio Corporation,8.22,43.48M,RLYB,Biotechnology
4585,RedCloud Holdings plc,0.780,43.15M,RCT,Software - Application
4586,"MIRA Pharmaceuticals, Inc.",1.030,43.13M,MIRA,Drug Manufacturers - General
4587,"Barfresh Food Group, Inc.",2.693,43.01M,BRFH,Beverages - Non-Alcoholic
4588,"Telomir Pharmaceuticals, Inc.",1.250,42.98M,TELO,Biotechnology
4589,Alarum Technologies Ltd.,5.98,42.91M,ALAR,Software - Infrastructure
4590,OFS Capital Corporation,3.190,42.74M,OFS,Asset Management
4591,VivoPower PLC,2.520,42.31M,VIVO,Pharmaceuticals
4592,"VirTra, Inc.",3.735,42.22M,VTSI,Software - Application
4593,"Soluna Holdings, Inc.",0.616,42.16M,SLNH,Capital Markets
4594,"GeoVax Labs, Inc.",1.400,42.08M,GOVX,Biotechnology
4595,Aurora Mobile Limited,7.00,41.98M,JG,Software - Application
4596,"Verde Clean Fuels, Inc.",1.900,41.89M,VGAS,Utilities - Renewable
4597,Globus Maritime Limited,1.940,41.87M,GLBS,Marine Shipping
4598,Massimo Group,1.000,41.64M,MAMO,Recreational Vehicles
4599,"RenovoRx, Inc.",1.130,41.41M,RNXT,Biotechnology
4600,blockchAIn Digital Infrastructure,1.100,41.39M,AIB,Shell Companies
4601,BranchOut Food Inc.,3.340,41.24M,BOF,Packaged Foods
4602,"Aligos Therapeutics, Inc.",6.66,41.21M,ALGS,Biotechnology
4603,"LanzaTech Global, Inc.",17.64,40.93M,LNZA,Waste Management
4604,Faraday Future Intelligent Electric Inc.,0.242,40.90M,FFAI,Auto Manufacturers
4605,BitVentures Limited,9.73,40.87M,BVC,Software - Application
4606,"RYTHM, Inc.",18.99,40.81M,RYM,Tobacco
4607,Live Ventures Incorporated,13.26,40.73M,LIVE,Home Improvement Retail
4608,"Lite Strategy, Inc.",1.120,40.73M,LITS,Biotechnology
4609,"Atossa Therapeutics, Inc.",4.720,40.65M,ATOS,Biotechnology
4610,"Century Casinos, Inc.",1.380,40.63M,CNTY,Resorts & Casinos
4611,DT Cloud Star Acquisition Corporation,11.10,40.55M,DTSQ,Shell Companies
4612,PermRock Royalty Trust,3.320,40.39M,PRT,Oil & Gas Exploration & Production
4613,Decoy Therapeutics Inc.,6.30,40.19M,DCOY,Biotechnology
4614,Blue Gold Limited,1.140,40.15M,BGL,Gold
4615,Zhengye Biotechnology Holding Limited,0.843,39.95M,ZYBT,Drug Manufacturers - Specialty & Generic
4616,"NovaBay Pharmaceuticals, Inc.",1.500,39.94M,NBY,Biotechnology
4617,"Marathon Bancorp, Inc.",13.59,39.92M,MBBC,Banks - Regional
4618,"The LGL Group, Inc.",7.19,39.78M,LGL,Scientific & Technical Instruments
4619,"eHealth, Inc.",1.280,39.77M,EHTH,Insurance Brokers
4620,MicroAlgo Inc.,3.190,39.68M,MLGO,Software - Infrastructure
4621,"Estrella Immunopharma, Inc.",1.050,39.65M,ESLA,Biotechnology
4622,"Reading International, Inc.",-,39.59M,RDIB,Entertainment
4623,"Plus Therapeutics, Inc.",0.230,39.46M,PSTV,Biotechnology
4624,Jaguar Uranium Corp.,1.950,39.38M,JAGU,Uranium
4625,"LightInTheBox Holding Co., Ltd.",2.130,39.18M,LITB,Internet Retail
4626,Above Food Ingredients Inc.,0.765,39.17M,ABVE,Packaged Foods
4627,"NetSol Technologies, Inc.",3.310,39.11M,NTWK,Software - Application
4628,"Mobix Labs, Inc.",0.378,38.99M,MOBX,Semiconductors
4629,Mount Logan Capital Inc.,3.480,38.96M,MLCI,Asset Management
4630,Frontier Nuclear and Minerals Inc.,2.160,38.94M,FNUC,Other Industrial Metals & Mining
4631,JIADE Limited,1.740,38.83M,JDZG,Information Technology Services
4632,"Fuel Tech, Inc.",1.250,38.39M,FTEK,Pollution & Treatment Controls
4633,Nova Minerals Limited,5.60,38.31M,NVA,Other Industrial Metals & Mining
4634,Rising Dragon Acquisition Corp.,5.10,38.25M,RDAC,Shell Companies
4635,"Werewolf Therapeutics, Inc.",0.781,37.94M,HOWL,Biotechnology
4636,K Wave Media Ltd.,0.574,37.79M,KWM,Entertainment
4637,Focus Universal Inc.,3.830,37.78M,FCUV,Scientific & Technical Instruments
4638,Oak Woods Acquisition Corporation,12.20,37.62M,OAKU,Shell Companies
4639,K-TECH Solutions Company Limited,1.780,37.56M,KMRK,Leisure
4640,"Atara Biotherapeutics, Inc.",4.590,37.54M,ATRA,Biotechnology
4641,"Orion Energy Systems, Inc.",9.22,37.37M,OESX,Electrical Equipment & Parts
4642,Cohen & Company Inc.,15.22,37.27M,COHN,Capital Markets
4643,Cytosorbents Corporation,0.593,37.24M,CTSO,Medical Devices
4644,TAO Synergies Inc.,5.22,37.21M,TAOX,Software - Infrastructure
4645,"Talphera, Inc.",0.742,37.11M,TLPH,Drug Manufacturers - Specialty & Generic
4646,NeuroOne Medical Technologies Corporation,0.734,37.09M,NMTC,Medical Devices
4647,"Apollomics, Inc.",17.26,37.06M,APLM,Biotechnology
4648,"Zedge, Inc.",2.840,37.04M,ZDGE,Internet Content & Information
4649,"SolarMax Technology, Inc.",0.679,36.88M,SMXT,Solar
4650,"Jerash Holdings (US), Inc.",2.900,36.83M,JRSH,Apparel Manufacturing
4651,Murano Global Investments Plc,0.464,36.80M,MRNO,Real Estate - Development
4652,New Century Logistics (BVI) Limited,11.50,36.80M,NCEW,Integrated Freight & Logistics
4653,"Palatin Technologies, Inc.",19.99,36.67M,PTN,Biotechnology
4654,"SCYNEXIS, Inc.",0.813,36.31M,SCYX,Drug Manufacturers - Specialty & Generic
4655,AiRWA Inc.,0.860,36.23M,YYAI,Software - Infrastructure
4656,"Rave Restaurant Group, Inc.",2.547,36.20M,RAVE,Restaurants
4657,Global Mofy AI Limited,1.400,36.18M,GMM,Information Technology Services
4658,"Ekso Bionics Holdings, Inc.",10.15,36.17M,EKSO,Medical Instruments & Supplies
4659,SuperCom Ltd.,7.72,36.16M,SPCB,Security & Protection Services
4660,Skillz Inc.,2.390,36.11M,SKLZ,Electronic Gaming & Multimedia
4661,Rein Therapeutics Inc.,1.280,35.89M,RNTX,Biotechnology
4662,Reitar Logtech Holdings Limited,0.575,35.89M,RITR,Engineering & Construction
4663,InterCure Ltd.,0.760,35.85M,INCR,Drug Manufacturers - Specialty & Generic
4664,"NextCure, Inc.",10.01,35.64M,NXTC,Biotechnology
4665,Rand Capital Corporation,11.99,35.61M,RAND,Asset Management
4666,"LeonaBio, Inc.",8.97,35.38M,LONA,Biotechnology
4667,"Pioneer Power Solutions, Inc.",3.180,35.28M,PPSI,Electrical Equipment & Parts
4668,Caesarstone Ltd.,1.020,35.27M,CSTE,Building Products & Equipment
4669,"AgEagle Aerial Systems, Inc.",0.880,35.25M,UAVS,Computer Hardware
4670,FG Nexus Inc.,5.38,35.24M,FGNX,Asset Management
4671,Celularity Inc.,1.220,35.18M,CELU,Biotechnology
4672,SRx Health Solutions Inc.,0.118,35.16M,SRXH,Packaged Foods
4673,"Lulu's Fashion Lounge Holdings, Inc.",12.67,35.12M,LVLU,Apparel Retail
4674,Sol Strategies Inc.,1.050,35.06M,STKE,Capital Markets
4675,Royalty Management Holding Corporation,2.310,34.98M,RMCO,Asset Management
4676,"High Roller Technologies, Inc.",3.210,34.96M,ROLR,Gambling
4677,"Sensei Biotherapeutics, Inc.",27.68,34.92M,SNSE,Biotechnology
4678,"Culp, Inc.",2.750,34.82M,CULP,Textile Manufacturing
4679,"Creative Realities, Inc.",3.310,34.82M,CREX,Software - Application
4680,Ideal Power Inc.,2.880,34.82M,IPWR,Semiconductors
4681,Smart Logistics Global Limited,0.868,34.74M,SLGB,Integrated Freight & Logistics
4682,OneConstruction Group Limited,2.170,34.72M,ONEG,Engineering & Construction
4683,Skillsoft Corp.,3.950,34.60M,SKIL,Education & Training Services
4684,CVD Equipment Corporation,4.980,34.55M,CVV,Specialty Industrial Machinery
4685,"Datacentrex, Inc.",2.110,34.46M,DTCX,Financial Data & Stock Exchanges
4686,CervoMed Inc.,3.720,34.44M,CRVO,Biotechnology
4687,"Rockwell Medical, Inc.",0.870,34.29M,RMTI,Drug Manufacturers - Specialty & Generic
4688,Fusemachines Inc.,1.180,34.15M,FUSE,Software - Application
4689,Koss Corporation,3.600,34.08M,KOSS,Consumer Electronics
4690,Kentucky First Federal Bancorp,4.210,34.05M,KFFB,Banks - Regional
4691,"Binah Capital Group, Inc.",2.050,34.04M,BCG,Asset Management
4692,"Katapult Holdings, Inc.",7.12,33.93M,KPLT,Software - Infrastructure
4693,Veru Inc.,2.110,33.87M,VERU,Biotechnology
4694,"Phunware, Inc.",1.670,33.72M,PHUN,Software - Application
4695,"Network-1 Technologies, Inc.",1.460,33.28M,NTIP,Specialty Business Services
4696,"NextTrip, Inc.",2.650,33.26M,NTRP,Travel Services
4697,TransAct Technologies Incorporated,3.245,33.23M,TACT,Computer Hardware
4698,Kartoon Studios Inc.,0.616,33.22M,TOON,Entertainment
4699,ACCESS Newswire Inc.,8.59,33.15M,ACCS,Advertising Agencies
4700,Eco Wave Power Global AB (publ),5.66,33.05M,WAVE,Utilities - Renewable
4701,Nortech Systems Incorporated,11.83,32.96M,NSYS,Medical Devices
4702,Skyline Builders Group Holding Limited,2.955,32.77M,SKBL,Engineering & Construction
4703,"Ascent Solar Technologies, Inc.",3.460,32.74M,ASTI,Solar
4704,Bayview Acquisition Corp,11.95,32.72M,BAYA,Shell Companies
4705,Ambitions Enterprise Management Co. L.L.C,1.100,32.70M,AHMA,Travel Services
4706,"Star Equity Holdings, Inc.",10.10,32.67M,STRR,Conglomerates
4707,U-BX Technology Ltd.,1.570,32.63M,UBXG,Software - Infrastructure
4708,Pluri Inc.,3.240,32.56M,PLUR,Biotechnology
4709,Robo.ai Inc.,0.0878,32.52M,AIIO,Auto Manufacturers
4710,"Intellinetics, Inc.",7.25,32.47M,INLX,Software - Application
4711,"FatPipe, Inc.",2.330,32.44M,FATN,Software - Infrastructure
4712,ATA Creativity Global,1.010,32.32M,AACG,Education & Training Services
4713,"Precision Optics Corporation, Inc.",4.175,32.23M,POCI,Medical Instruments & Supplies
4714,Westport Fuel Systems Inc.,1.860,32.22M,WPRT,Auto Parts
4715,"Actinium Pharmaceuticals, Inc.",1.030,32.13M,ATNM,Biotechnology
4716,WISeKey International Holding AG,5.71,32.12M,WKEY,Semiconductors
4717,Ohmyhome Limited,1.250,32.08M,OMH,Real Estate Services
4718,"Aether Holdings, Inc.",2.640,32.06M,ATHR,Software - Application
4719,"U.S. Global Investors, Inc.",2.550,32.01M,GROW,Asset Management
4720,Greenland Mines Ltd,0.295,31.89M,GRML,Other Precious Metals & Mining
4721,"Pixelworks, Inc.",5.01,31.87M,PXLW,Semiconductors
4722,TechPrecision Corporation,3.170,31.74M,TPCS,Metal Fabrication
4723,TMD Energy Limited,1.340,31.58M,TMDE,Oil & Gas Midstream
4724,Natuzzi S.p.A.,2.850,31.39M,NTZ,"Furnishings, Fixtures & Appliances"
4725,"LivePerson, Inc.",2.600,31.34M,LPSN,Software - Application
4726,"Usio, Inc.",1.120,31.08M,USIO,Software - Infrastructure
4727,NaaS Technology Inc.,2.570,30.98M,NAAS,Specialty Retail
4728,PTL Limited,4.930,30.97M,PTLE,Specialty Retail
4729,"Stran & Company, Inc.",1.650,30.84M,SWAG,Advertising Agencies
4730,"Nephros, Inc.",2.895,30.82M,NEPH,Medical Instruments & Supplies
4731,B.O.S. Better Online Solutions Ltd.,5.07,30.72M,BOSC,Communication Equipment
4732,"ESS Tech, Inc.",1.130,30.71M,GWH,Electrical Equipment & Parts
4733,Research Frontiers Incorporated,0.883,30.67M,REFR,Electronic Components
4734,Able View Global Inc.,-,30.62M,ABLV,Specialty Retail
4735,reAlpha Tech Corp.,0.231,30.51M,AIRE,Real Estate Services
4736,Premium Catering (Holdings) Limited,9.40,30.50M,PC,Specialty Business Services
4737,Ruanyun Edai Technology Inc.,1.010,30.30M,RYET,Education & Training Services
4738,"United-Guardian, Inc.",6.56,30.14M,UG,Household & Personal Products
4739,"TELA Bio, Inc.",0.670,29.98M,TELA,Medical Devices
4740,Sagtec Global Limited,2.350,29.96M,SAGT,Software - Application
4741,Anghami Inc.,3.300,29.91M,ANGH,Entertainment
4742,Foxx Development Holdings Inc.,4.260,29.84M,FOXX,Consumer Electronics
4743,Borealis Foods Inc.,1.390,29.83M,BRLS,Packaged Foods
4744,INmune Bio Inc.,1.120,29.78M,INMB,Biotechnology
4745,"Tvardi Therapeutics, Inc.",3.170,29.74M,TVRD,Biotechnology
4746,Offerpad Solutions Inc.,0.627,29.61M,OPAD,Real Estate Services
4747,Tiziana Life Sciences Ltd,1.240,29.47M,TLSA,Biotechnology
4748,"Firefly Neuroscience, Inc.",2.180,29.39M,AIFF,Software - Application
4749,"Jasper Therapeutics, Inc.",1.050,29.38M,JSPR,Biotechnology
4750,Trio Petroleum Corp.,0.918,29.32M,TPET,Oil & Gas Exploration & Production
4751,Key Tronic Corporation,2.700,29.32M,KTCC,Computer Hardware
4752,Pomdoctor Limited,0.248,29.31M,POM,Pharmaceutical Retailers
4753,BeLive Holdings,2.680,29.12M,BLIV,Software - Application
4754,"Giftify, Inc.",0.864,29.07M,GIFT,Internet Content & Information
4755,Wellchange Holdings Company Limited,2.650,28.90M,WCT,Software - Application
4756,Mega Matrix Inc.,0.745,28.72M,MPU,Entertainment
4757,"Nixxy, Inc.",1.150,28.61M,NIXX,Staffing & Employment Services
4758,"Inuvo, Inc.",1.920,28.25M,INUV,Software - Application
4759,"Crown Crafts, Inc.",2.640,28.24M,CRWS,"Furnishings, Fixtures & Appliances"
4760,Femasys Inc.,0.482,28.21M,FEMY,Medical Instruments & Supplies
4761,BriaCell Therapeutics Corp.,3.750,28.17M,BCTX,Biotechnology
4762,"Exicure, Inc.",4.415,28.14M,XCUR,Biotechnology
4763,"Investcorp Credit Management BDC, Inc.",1.940,27.96M,ICMB,Asset Management
4764,"Serina Therapeutics, Inc.",2.270,27.95M,SER,Biotechnology
4765,"Aytu BioPharma, Inc.",2.600,27.91M,AYTU,Drug Manufacturers - Specialty & Generic
4766,"YSX Tech. Co., Ltd",1.190,27.89M,YSXT,Specialty Business Services
4767,MicroCloud Hologram Inc.,1.910,27.82M,HOLO,Electronic Components
4768,TOP Financial Group Limited,0.750,27.80M,TOP,Capital Markets
4769,E-Power Inc.,1.030,27.80M,EPOW,Electrical Equipment & Parts
4770,"Hyperion DeFi, Inc.",3.420,27.69M,HYPD,Biotechnology
4771,"BioXcel Therapeutics, Inc.",1.260,27.56M,BTAI,Drug Manufacturers - Specialty & Generic
4772,"Turbo Energy, S.A.",2.500,27.54M,TURB,Solar
4773,IceCure Medical Ltd,0.375,27.41M,ICCM,Medical Devices
4774,GEE Group Inc.,0.249,27.36M,JOB,Staffing & Employment Services
4775,Creative Global Technology Holdings Limited,1.060,27.27M,CGTL,Specialty Retail
4776,Arrive AI Inc.,0.796,27.25M,ARAI,Software - Infrastructure
4777,"AtlasClear Holdings, Inc.",0.182,27.23M,ATCH,Capital Markets
4778,CNFinance Holdings Limited,3.970,27.23M,CNF,Mortgage Finance
4779,PowerBank Corporation,0.550,27.19M,SUUN,Utilities - Renewable
4780,Farmer Bros. Co.,1.250,27.16M,FARM,Packaged Foods
4781,CLPS Incorporation,0.910,27.16M,CLPS,Information Technology Services
4782,"Adagio Medical Holdings, Inc.",1.220,27.10M,ADGM,Medical Devices
4783,Quantum BioPharma Ltd.,4.770,27.08M,QNTM,Biotechnology
4784,CEL-SCI Corporation,3.200,27.07M,CVM,Biotechnology
4785,"Aware, Inc.",1.250,27.00M,AWRE,Software - Application
4786,Skycorp Solar Group Ltd,1.000,27.00M,PN,Solar
4787,"Kyntra Bio, Inc.",6.66,26.95M,KYNB,Biotechnology
4788,Primech Holdings Ltd.,0.699,26.85M,PMEC,Specialty Business Services
4789,"System1, Inc.",3.320,26.84M,SST,Specialty Business Services
4790,"Myomo, Inc.",0.697,26.83M,MYO,Medical Devices
4791,"Cryo-Cell International, Inc.",3.310,26.66M,CCEL,Medical Care Facilities
4792,PDS Biotechnology Corporation,0.541,26.52M,PDSB,Biotechnology
4793,"Destination XL Group, Inc.",0.483,26.48M,DXLG,Apparel Retail
4794,Vantage Corp,0.830,26.35M,VNTG,Marine Shipping
4795,"Allbirds, Inc.",3.180,26.12M,BIRD,Apparel Retail
4796,Beam Global,1.370,26.07M,BEEM,Solar
4797,BayFirst Financial Corp.,6.34,26.06M,BAFN,Banks - Regional
4798,"rYojbaba Co., Ltd.",2.250,25.99M,RYOJ,Consulting Services
4799,Nasus Pharma Ltd.,2.210,25.98M,NSRX,Drug Manufacturers - General
4800,Pinnacle Food Group Limited,2.620,25.94M,PFAI,Farm Products
4801,Vince Holding Corp.,1.990,25.81M,VNCE,Apparel Manufacturing
4802,"ABVC BioPharma, Inc.",1.010,25.69M,ABVC,Biotechnology
4803,Uni-Fuels Holdings Limited,0.792,25.68M,UFG,Marine Shipping
4804,"Pop Culture Group Co., Ltd",0.312,25.57M,CPOP,Entertainment
4805,"Equus Total Return, Inc.",1.870,25.41M,EQS,Asset Management
4806,Grande Group Limited,1.020,25.40M,GRAN,Capital Markets
4807,Veea Inc.,0.503,25.36M,VEEA,Information Technology Services
4808,"PSQ Holdings, Inc.",0.519,25.28M,PSQH,Software - Application
4809,Lakeside Holding Limited,0.733,25.23M,LSH,Integrated Freight & Logistics
4810,"Reading International, Inc.",1.110,25.22M,RDI,Entertainment
4811,"TherapeuticsMD, Inc.",2.170,25.12M,TXMD,Drug Manufacturers - Specialty & Generic
4812,"GoHealth, Inc.",1.555,25.02M,GOCO,Insurance Brokers
4813,A SPAC III Acquisition Corp.,10.70,25.01M,ASPC,Shell Companies
4814,Data I/O Corporation,2.660,24.98M,DAIO,Electronic Components
4815,Ark Restaurants Corp.,6.90,24.88M,ARKR,Restaurants
4816,Bioceres Crop Solutions Corp.,0.391,24.82M,BIOX,Agricultural Inputs
4817,Foremost Clean Energy Ltd.,1.700,24.76M,FMST,Other Industrial Metals & Mining
4818,"Dyadic International, Inc.",0.679,24.73M,DYAI,Biotechnology
4819,"Maxeon Solar Technologies, Ltd.",1.460,24.72M,MAXN,Solar
4820,"Boundless Bio, Inc.",1.102,24.69M,BOLD,Biotechnology
4821,SMX (Security Matters) Public Limited Company,8.12,24.68M,SMX,Specialty Business Services
4822,"Senti Biosciences, Inc.",0.790,24.61M,SNTI,Biotechnology
4823,NeuroSense Therapeutics Ltd.,0.731,24.41M,NRSN,Biotechnology
4824,Local Bounti Corporation,1.090,24.28M,LOCL,Farm Products
4825,"Coffee Holding Co., Inc.",4.250,24.26M,JVA,Packaged Foods
4826,CBL International Limited,0.880,24.20M,BANL,Oil & Gas Midstream
4827,"GameSquare Holdings, Inc.",0.246,24.17M,GAME,Electronic Gaming & Multimedia
4828,VolitionRx Limited,0.197,24.14M,VNRX,Medical Devices
4829,MIND C.T.I. Ltd,1.180,24.04M,MNDO,Software - Application
4830,Quest Resource Holding Corporation,1.140,23.89M,QRHC,Waste Management
