No.,Company Name,Stock Price,Market Cap,Symbol,Industry,Sector
239,Nu Holdings Ltd.,13.60,66.04B,NU,Banks - Regional,Financials
240,General Motors Company,72.98,65.97B,GM,Auto Manufacturers,Consumer Discretionary
241,"Air Products and Chemicals, Inc.",292.19,65.06B,APD,Specialty Chemicals,Materials
242,Barrick Mining Corporation,38.59,64.53B,B,Gold,Materials
243,Occidental Petroleum Corporation,65.32,64.42B,OXY,Oil & Gas Exploration & Production,Energy
244,TransDigm Group Incorporated,"1,140.03",64.38B,TDG,Aerospace & Defense,Industrials
245,Vale S.A.,15.03,64.16B,VALE,Other Industrial Metals & Mining,Materials
246,"L3Harris Technologies, Inc.",343.00,64.06B,LHX,Aerospace & Defense,Industrials
247,"DoorDash, Inc.",146.60,63.69B,DASH,Internet Retail,Consumer Discretionary
248,Norfolk Southern Corporation,283.25,63.61B,NSC,Railroads,Industrials
249,"Elevance Health, Inc.",286.39,63.21B,ELV,Healthcare Plans,Healthcare
250,Imperial Oil Limited,130.76,63.18B,IMO,Oil & Gas Integrated,Energy
251,"Apollo Global Management, Inc.",108.42,62.69B,APO,Asset Management,Financials
252,Sempra,95.88,62.64B,SRE,Utilities - Diversified,Utilities
253,Baker Hughes Company,63.22,62.48B,BKR,Oil & Gas Equipment & Services,Energy
254,"Cheniere Energy, Inc.",296.91,62.41B,LNG,Oil & Gas Midstream,Energy
255,Canadian National Railway Company,101.43,62.03B,CNI,Railroads,Industrials
256,"The Travelers Companies, Inc.",285.27,61.69B,TRV,Insurance - Property & Casualty,Financials
257,"Cencora, Inc.",312.45,60.78B,COR,Medical Distribution,Healthcare
258,"Digital Realty Trust, Inc.",175.42,60.28B,DLR,REIT - Specialty,Real Estate
259,"Robinhood Markets, Inc.",66.02,59.44B,HOOD,Capital Markets,Financials
260,TE Connectivity plc,202.14,59.31B,TEL,Electronic Components,Technology
261,PACCAR Inc,112.75,59.29B,PCAR,Farm & Heavy Construction Machinery,Industrials
262,"ONEOK, Inc.",93.96,59.17B,OKE,Oil & Gas Midstream,Energy
263,MPLX LP,58.13,59.01B,MPLX,Oil & Gas Midstream,Energy
264,"Simon Property Group, Inc.",180.19,58.55B,SPG,REIT - Retail,Real Estate
265,"Fortinet, Inc.",78.20,58.15B,FTNT,Software - Infrastructure,Technology
266,RELX PLC,31.97,57.67B,RELX,Specialty Business Services,Industrials
267,"Diamondback Energy, Inc.",201.84,56.93B,FANG,Oil & Gas Exploration & Production,Energy
268,NatWest Group plc,14.27,56.92B,NWG,Banks - Regional,Financials
269,Ciena Corporation,401.61,56.79B,CIEN,Communication Equipment,Technology
270,Realty Income Corporation,60.69,56.68B,O,REIT - Retail,Real Estate
271,Takeda Pharmaceutical Company Limited,17.91,56.58B,TAK,Drug Manufacturers - Specialty & Generic,Healthcare
