No.,Company Name,Stock Price,Market Cap,Symbol,Industry,Sector
1337,"Axos Financial, Inc.",82.97,4.70B,AX,Banks - Regional,Financials
1338,"Millrose Properties, Inc.",28.28,4.69B,MRP,REIT - Residential,Real Estate
1339,"KBR, Inc.",37.00,4.68B,KBR,Engineering & Construction,Industrials
1340,Gentex Corporation,21.72,4.68B,GNTX,Auto Parts,Consumer Discretionary
1341,"ExlService Holdings, Inc.",29.84,4.67B,EXLS,Information Technology Services,Technology
1342,"HA Sustainable Infrastructure Capital, Inc.",36.33,4.67B,HASI,Asset Management,Financials
1343,"Erasca, Inc.",14.97,4.65B,ERAS,Biotechnology,Healthcare
1344,"GPGI, Inc.",16.06,4.65B,GPGI,Metal Fabrication,Industrials
1345,Main Street Capital Corporation,51.53,4.64B,MAIN,Asset Management,Financials
1346,"Lemonade, Inc.",60.70,4.64B,LMND,Insurance - Property & Casualty,Financials
1347,Klarna Group plc,12.27,4.63B,KLAR,Software - Infrastructure,Technology
1348,"Phillips Edison & Company, Inc.",36.81,4.63B,PECO,REIT - Retail,Real Estate
1349,Cleveland-Cliffs Inc.,8.11,4.63B,CLF,Steel,Materials
1350,"Choice Hotels International, Inc.",100.62,4.63B,CHH,Lodging,Consumer Discretionary
1351,Brookfield Infrastructure Corporation,37.76,4.62B,BIPC,Utilities - Regulated Gas,Utilities
1352,PEDEVCO Corp.,17.32,4.61B,PED,Oil & Gas Exploration & Production,Energy
1353,Brunswick Corporation,70.95,4.60B,BC,Recreational Vehicles,Consumer Discretionary
1354,Opendoor Technologies Inc.,4.800,4.60B,OPEN,Real Estate Services,Real Estate
1355,"Post Holdings, Inc.",95.70,4.59B,POST,Packaged Foods,Consumer Staples
1356,Graham Holdings Company,"1,050.56",4.58B,GHC,Education & Training Services,Consumer Staples
1357,PLDT Inc.,21.21,4.58B,PHI,Telecom Services,Communication Services
1358,"Fortune Brands Innovations, Inc.",38.17,4.58B,FBIN,Building Products & Equipment,Industrials
1359,"Copa Holdings, S.A.",110.91,4.56B,CPA,Airlines,Industrials
1360,"OneStream, Inc.",23.98,4.56B,OS,Software - Infrastructure,Technology
1361,"Etsy, Inc.",47.31,4.55B,ETSY,Internet Retail,Consumer Discretionary
1362,"PriceSmart, Inc.",147.52,4.55B,PSMT,Discount Stores,Consumer Staples
1363,Knife River Corporation,80.20,4.54B,KNF,Building Materials,Materials
1364,"Nelnet, Inc.",126.55,4.54B,NNI,Credit Services,Financials
1365,"Boot Barn Holdings, Inc.",149.23,4.54B,BOOT,Apparel Retail,Consumer Discretionary
1366,PG&E Corporation,17.17,4.54B,PCG,Utilities - Regulated Electric,Utilities
1367,"Rush Enterprises, Inc.",63.45,4.53B,RUSHB,Auto & Truck Dealerships,Consumer Discretionary
1368,"Amicus Therapeutics, Inc.",14.41,4.52B,FOLD,Biotechnology,Healthcare
1369,"Grand Canyon Education, Inc.",166.58,4.52B,LOPE,Education & Training Services,Consumer Staples
1370,OUTFRONT Media Inc.,25.65,4.52B,OUT,REIT - Specialty,Real Estate
1371,Waystar Holding Corp.,23.54,4.51B,WAY,Health Information Services,Healthcare
1372,Pampa EnergÃ­a S.A.,83.92,4.51B,PAM,Conglomerates,Industrials
1373,Credit Acceptance Corporation,419.49,4.51B,CACC,Credit Services,Financials
1374,"Vail Resorts, Inc.",126.49,4.51B,MTN,Resorts & Casinos,Consumer Discretionary
1375,UniFirst Corporation,248.62,4.49B,UNF,Specialty Business Services,Industrials
1376,Crescent Energy Company,13.7,4.49B,CRGY,Oil & Gas Exploration & Production,Energy
1377,"Selective Insurance Group, Inc.",74.68,4.49B,SIGI,Insurance - Property & Casualty,Financials
1378,"OSI Systems, Inc.",272.33,4.49B,OSIS,Electronic Components,Technology
1379,"Duolingo, Inc.",95.35,4.48B,DUOL,Software - Application,Technology
1380,Ralliant Corporation,39.92,4.46B,RAL,Electronic Components,Technology
1381,"Schneider National, Inc.",25.44,4.46B,SNDR,Trucking,Industrials
1382,"Eastern Bankshares, Inc.",19.01,4.46B,EBC,Banks - Regional,Financials
1383,"PennyMac Financial Services, Inc.",85.47,4.46B,PFSI,Mortgage Finance,Financials
1384,"BGC Group, Inc.",9.4,4.46B,BGC,Capital Markets,Financials
1385,Radian Group Inc.,32.59,4.44B,RDN,Insurance - Specialty,Financials
1386,"Rigetti Computing, Inc.",13.32,4.42B,RGTI,Computer Hardware,Technology
1387,"Hims & Hers Health, Inc.",19.38,4.42B,HIMS,Drug Manufacturers - Specialty & Generic,Healthcare
1388,Reynolds Consumer Products Inc.,20.89,4.39B,REYN,Packaging & Containers,Consumer Discretionary
1389,CRISPR Therapeutics AG,45.75,4.39B,CRSP,Biotechnology,Healthcare
1390,"Mirion Technologies, Inc.",17.89,4.38B,MIR,Specialty Industrial Machinery,Industrials
1391,"Doximity, Inc.",23.69,4.38B,DOCS,Health Information Services,Healthcare
1392,Belden Inc.,112.88,4.37B,BDC,Communication Equipment,Technology
1393,"RadNet, Inc.",56.15,4.36B,RDNT,Diagnostics & Research,Healthcare
1394,"CSW Industrials, Inc.",263.91,4.35B,CSW,Specialty Industrial Machinery,Industrials
1395,Universal Display Corporation,91.87,4.33B,OLED,Electronic Components,Technology
1396,"Mattel, Inc.",14.3,4.32B,MAT,Leisure,Consumer Discretionary
1397,"Patterson-UTI Energy, Inc.",11.36,4.31B,PTEN,Oil & Gas Drilling,Energy
1398,Bright Horizons Family Solutions Inc.,77.99,4.30B,BFAM,Personal Services,Consumer Discretionary
1399,"Mercury Systems, Inc.",71.4,4.29B,MRCY,Aerospace & Defense,Industrials
1400,"SentinelOne, Inc.",12.58,4.28B,S,Software - Infrastructure,Technology
1401,"Option Care Health, Inc.",27.27,4.27B,OPCH,Medical Care Facilities,Healthcare
1402,AAR Corp.,107.25,4.26B,AIR,Aerospace & Defense,Industrials
1403,"Badger Meter, Inc.",145.81,4.25B,BMI,Scientific & Technical Instruments,Technology
1404,Valvoline Inc.,33.42,4.25B,VVV,Auto & Truck Dealerships,Consumer Discretionary
1405,"Federated Hermes, Inc.",56.0,4.25B,FHI,Asset Management,Financials
1406,Energy Fuels Inc.,17.61,4.25B,UUUU,Uranium,Energy
1407,MYR Group Inc.,273.47,4.25B,MYRG,Engineering & Construction,Industrials
1408,Wingstop Inc.,154.46,4.25B,WING,Restaurants,Consumer Discretionary
1409,"Mueller Water Products, Inc.",27.04,4.23B,MWA,Specialty Industrial Machinery,Industrials
1410,Travel + Leisure Co.,67.69,4.22B,TNL,Travel Services,Consumer Discretionary
1411,Science Applications International Corporation,97.26,4.22B,SAIC,Information Technology Services,Technology
1412,"MDU Resources Group, Inc.",20.61,4.21B,MDU,Utilities - Regulated Gas,Utilities
1413,Almonty Industries Inc.,14.91,4.21B,ALM,Other Industrial Metals & Mining,Materials
1414,Kenon Holdings Ltd.,80.6,4.20B,KEN,Utilities - Independent Power Producers,Utilities
1415,International Bancshares Corporation,67.36,4.19B,IBOC,Banks - Regional,Financials
1416,"Victory Capital Holdings, Inc.",65.13,4.17B,VCTR,Asset Management,Financials
1417,Hamilton Lane Incorporated,94.77,4.16B,HLNE,Asset Management,Financials
1418,"Fastly, Inc.",27.43,4.16B,FSLY,Software - Application,Technology
1419,"THOR Industries, Inc.",79.12,4.16B,THO,Recreational Vehicles,Consumer Discretionary
1420,"First Financial Bankshares, Inc.",28.99,4.15B,FFIN,Banks - Regional,Financials
1421,The Brink's Company,100.77,4.15B,BCO,Security & Protection Services,Industrials
1422,"Alaska Air Group, Inc.",36.16,4.15B,ALK,Airlines,Industrials
1423,Associated Banc-Corp,24.87,4.13B,ASB,Banks - Regional,Financials
1424,"Ryan Specialty Holdings, Inc.",31.74,4.12B,RYAN,Insurance - Specialty,Financials
1425,StoneX Group Inc.,78.36,4.11B,SNEX,Capital Markets,Financials
1426,Kingsoft Cloud Holdings Limited,13.59,4.11B,KC,Software - Application,Technology
1427,"Texas Capital Bancshares, Inc.",92.67,4.09B,TCBI,Banks - Regional,Financials
1428,Tidewater Inc.,82.4,4.08B,TDW,Oil & Gas Equipment & Services,Energy
1429,"Merit Medical Systems, Inc.",68.73,4.08B,MMSI,Medical Instruments & Supplies,Healthcare
1430,"USA Compression Partners, LP",28.17,4.08B,USAC,Oil & Gas Equipment & Services,Energy
1431,"Minimed Group, Inc.",14.47,4.06B,MMED,Medical Instruments & Supplies,Healthcare
1432,"ACI Worldwide, Inc.",39.88,4.06B,ACIW,Software - Infrastructure,Technology
1433,Evolution Metals & Technologies Corp.,6.83,4.05B,EMAT,Other Industrial Metals & Mining,Materials
1434,"Vistance Networks, Inc.",17.95,4.05B,VISN,Communication Equipment,Technology
1435,Novanta Inc.,113.15,4.04B,NOVT,Scientific & Technical Instruments,Technology
1436,SLM Corporation,20.36,4.03B,SLM,Credit Services,Financials
1437,Envista Holdings Corporation,24.6,4.03B,NVST,Medical Instruments & Supplies,Healthcare
1438,Liberty Global Ltd.,11.97,4.03B,LBTYA,Telecom Services,Communication Services
1439,Tutor Perini Corporation,76.15,4.02B,TPC,Engineering & Construction,Industrials
1440,Gulfport Energy Corporation,216.42,4.02B,GPOR,Oil & Gas Exploration & Production,Energy
1441,Silgan Holdings Inc.,38.08,4.02B,SLGN,Packaging & Containers,Consumer Discretionary
1442,"Champion Homes, Inc.",72.54,4.01B,SKY,Residential Construction,Consumer Discretionary
1443,Meritage Homes Corporation,60.0,4.01B,MTH,Residential Construction,Consumer Discretionary
1444,"NorthWestern Energy Group, Inc.",65.22,4.01B,NWE,Utilities - Regulated Electric,Utilities
1445,Abercrombie & Fitch Co.,89.13,4.00B,ANF,Apparel Retail,Consumer Discretionary
1446,Corcept Therapeutics Incorporated,37.6,4.00B,CORT,Biotechnology,Healthcare
1447,"Franklin Electric Co., Inc.",90.45,4.00B,FELE,Specialty Industrial Machinery,Industrials
1448,"Crocs, Inc.",79.54,4.00B,CROX,Footwear & Accessories,Consumer Discretionary
1449,Moelis & Company,54.28,3.99B,MC,Capital Markets,Financials
1450,CorporaciÃ³n AmÃ©rica Airports S.A.,24.39,3.98B,CAAP,Airports & Air Services,Industrials
1451,"National Health Investors, Inc.",82.2,3.98B,NHI,REIT - Healthcare Facilities,Real Estate
1452,Pony AI Inc.,9.14,3.96B,PONY,Information Technology Services,Technology
1453,"ServisFirst Bancshares, Inc.",72.53,3.96B,SFBS,Banks - Regional,Financials
1454,"H&R Block, Inc.",31.21,3.96B,HRB,Personal Services,Consumer Discretionary
1455,Covista Inc.,114.61,3.96B,CVSA,Education & Training Services,Consumer Staples
1456,"Array Digital Infrastructure, Inc.",45.73,3.95B,AD,Telecom Services,Communication Services
1457,"Tri Pointe Homes, Inc.",46.69,3.94B,TPH,Residential Construction,Consumer Discretionary
1458,Scorpio Tankers Inc.,75.71,3.92B,STNG,Oil & Gas Midstream,Energy
1459,Allied Gold Corporation,31.04,3.90B,AAUC,Gold,Materials
1460,Ligand Pharmaceuticals Incorporated,195.48,3.90B,LGND,Biotechnology,Healthcare
1461,"LG Display Co., Ltd.",3.89,3.89B,LPL,Consumer Electronics,Technology
1462,"Group 1 Automotive, Inc.",325.18,3.88B,GPI,Auto & Truck Dealerships,Consumer Discretionary
1463,Cabot Corporation,74.11,3.87B,CBT,Specialty Chemicals,Materials
1464,Alliance Laundry Holdings Inc.,19.53,3.87B,ALH,"Furnishings, Fixtures & Appliances",Consumer Discretionary
1465,Tanger Inc.,33.74,3.86B,SKT,REIT - Retail,Real Estate
1466,Centessa Pharmaceuticals plc,28.7,3.86B,CNTA,Biotechnology,Healthcare
1467,BBB Foods Inc.,34.29,3.85B,TBBB,Discount Stores,Consumer Staples
1468,"Itron, Inc.",85.6,3.85B,ITRI,Scientific & Technical Instruments,Technology
1469,TransAlta Corporation,12.92,3.84B,TAC,Utilities - Independent Power Producers,Utilities
1470,QuantumScape Corporation,6.26,3.83B,QS,Auto Parts,Consumer Discretionary
1471,TFS Financial Corporation,13.61,3.82B,TFSL,Banks - Regional,Financials
1472,"iRhythm Holdings, Inc.",118.1,3.82B,IRTC,Medical Devices,Healthcare
1473,Brady Corporation,80.73,3.81B,BRC,Security & Protection Services,Industrials
1474,Fermi Inc.,6.18,3.79B,FRMI,Regulated Electric,Utilities
1475,Firefly Aerospace Inc.,23.71,3.79B,FLY,Aerospace & Defense,Industrials
1476,Sphere Entertainment Co.,106.77,3.79B,SPHR,Entertainment,Communication Services
1477,Archer Aviation Inc.,5.09,3.79B,ACHR,Aerospace & Defense,Industrials
1478,"Frontdoor, Inc.",53.64,3.79B,FTDR,Personal Services,Consumer Discretionary
1479,Embotelladora Andina S.A.,25.06,3.78B,AKO.B,Beverages - Non-Alcoholic,Consumer Staples
1480,Embotelladora Andina S.A.,24.14,3.78B,AKO.A,Beverages - Non-Alcoholic,Consumer Staples
1481,"Asbury Automotive Group, Inc.",195.56,3.77B,ABG,Auto & Truck Dealerships,Consumer Discretionary
1482,The Marzetti Company,137.13,3.76B,MZTI,Packaged Foods,Consumer Staples
1483,"Trex Company, Inc.",35.54,3.76B,TREX,Building Products & Equipment,Industrials
1484,"Viking Therapeutics, Inc.",32.52,3.76B,VKTX,Biotechnology,Healthcare
1485,Sotera Health Company,13.13,3.73B,SHC,Diagnostics & Research,Healthcare
1486,"Alliance Resource Partners, L.P.",28.99,3.73B,ARLP,Thermal Coal,Energy
1487,"CNO Financial Group, Inc.",39.55,3.73B,CNO,Insurance - Life,Financials
1488,"Amneal Pharmaceuticals, Inc.",11.85,3.73B,AMRX,Drug Manufacturers - Specialty & Generic,Healthcare
1489,EPR Properties,48.71,3.73B,EPR,REIT - Specialty,Real Estate
1490,Hafnia Limited,7.48,3.72B,HAFN,Marine Shipping,Industrials
1491,"Spyre Therapeutics, Inc.",47.31,3.72B,SYRE,Biotechnology,Healthcare
1492,Howard Hughes Holdings Inc.,62.3,3.72B,HHH,Real Estate - Development,Real Estate
1493,Silicon Motion Technology Corporation,110.06,3.71B,SIMO,Semiconductors,Technology
1494,"United Community Banks, Inc.",30.93,3.70B,UCB,Banks - Regional,Financials
1495,Sensient Technologies Corporation,86.66,3.68B,SXT,Specialty Chemicals,Materials
1496,"Virtu Financial, Inc.",42.52,3.68B,VIRT,Capital Markets,Financials
1497,MDA Space Ltd.,24.82,3.68B,MDA,Other,-
1498,"Cal-Maine Foods, Inc.",77.12,3.68B,CALM,Farm Products,Consumer Staples
1499,"Lazard, Inc.",39.11,3.67B,LAZ,Capital Markets,Financials
1500,"Kontoor Brands, Inc.",66.43,3.67B,KTB,Apparel Manufacturing,Consumer Discretionary
1501,Stevanato Group S.p.A.,13.43,3.67B,STVN,Medical Instruments & Supplies,Healthcare
1502,Cmb.Tech NV,12.63,3.66B,CMBT,Oil & Gas Midstream,Energy
1503,AZZ Inc.,122.72,3.66B,AZZ,Specialty Business Services,Industrials
1504,"BILL Holdings, Inc.",37.0,3.66B,BILL,Software - Application,Technology
1505,StepStone Group Inc.,45.49,3.65B,STEP,Asset Management,Financials
1506,"Stride, Inc.",85.61,3.65B,LRN,Education & Training Services,Consumer Staples
1507,"SkyWest, Inc.",89.66,3.62B,SKYW,Airlines,Industrials
1508,DLocal Limited,12.27,3.62B,DLO,Software - Infrastructure,Technology
1509,"Cavco Industries, Inc.",466.14,3.62B,CVCO,Residential Construction,Consumer Discretionary
1510,"Shift4 Payments, Inc.",44.48,3.61B,FOUR,Software - Infrastructure,Technology
1511,Independent Bank Corp.,73.73,3.61B,INDB,Banks - Regional,Financials
1512,"Oceaneering International, Inc.",36.33,3.61B,OII,Oil & Gas Equipment & Services,Energy
1513,"Helmerich & Payne, Inc.",36.15,3.61B,HP,Oil & Gas Drilling,Energy
1514,"Dianthus Therapeutics, Inc.",81.13,3.61B,DNTH,Biotechnology,Healthcare
1515,"e.l.f. Beauty, Inc.",61.05,3.61B,ELF,Household & Personal Products,Consumer Staples
1516,Otter Tail Corporation,85.85,3.60B,OTTR,Conglomerates,Industrials
1517,Centrus Energy Corp.,182.9,3.60B,LEU,Uranium,Energy
1518,NovaGold Resources Inc.,8.19,3.59B,NG,Gold,Materials
1519,"nLIGHT, Inc.",64.32,3.59B,LASR,Semiconductors,Technology
1520,Cousins Properties Incorporated,21.34,3.58B,CUZ,REIT - Office,Real Estate
1521,Assured Guaranty Ltd.,79.29,3.58B,AGO,Insurance - Specialty,Financials
1522,BancFirst Corporation,106.72,3.58B,BANF,Banks - Regional,Financials
1523,"Patrick Industries, Inc.",107.39,3.57B,PATK,Recreational Vehicles,Consumer Discretionary
1524,"United States Lime & Minerals, Inc.",123.99,3.55B,USLM,Building Materials,Materials
1525,Zeta Global Holdings Corp.,14.55,3.55B,ZETA,Software - Infrastructure,Technology
1526,"Maximus, Inc.",65.09,3.55B,MMS,Specialty Business Services,Industrials
1527,Dana Incorporated,32.55,3.55B,DAN,Auto Parts,Consumer Discretionary
1528,Liberty Global Ltd.,13.5,3.55B,LBTYB,Telecom Services,Communication Services
1529,Liberty Global Ltd.,11.63,3.55B,LBTYK,Telecom Services,Communication Services
1530,Fulton Financial Corporation,19.68,3.54B,FULT,Banks - Regional,Financials
1531,ACADIA Pharmaceuticals Inc.,20.75,3.54B,ACAD,Biotechnology,Healthcare
1532,The St. Joe Company,61.42,3.53B,JOE,Real Estate - Diversified,Real Estate
1533,"Broadstone Net Lease, Inc.",18.46,3.53B,BNL,REIT - Diversified,Real Estate
1534,TechCreate Group Ltd.,172.84,3.53B,TCGL,Software - Infrastructure,Technology
1535,Boyd Group Services Inc.,126.4,3.53B,BGSI,Auto & Truck Dealerships,Consumer Discretionary
1536,"Crinetics Pharmaceuticals, Inc.",33.67,3.53B,CRNX,Biotechnology,Healthcare
1537,Aris Mining Corporation,17.14,3.52B,ARIS,Gold,Materials
1538,Signet Jewelers Limited,84.04,3.52B,SIG,Luxury Goods,Consumer Discretionary
1539,The Scotts Miracle-Gro Company,60.65,3.52B,SMG,Agricultural Inputs,Materials
1540,"International Seaways, Inc.",71.16,3.52B,INSW,Oil & Gas Midstream,Energy
1541,"Independence Realty Trust, Inc.",14.76,3.50B,IRT,REIT - Residential,Real Estate
1542,"Kiniksa Pharmaceuticals International, plc",45.75,3.50B,KNSA,Drug Manufacturers - Specialty & Generic,Healthcare
1543,"CVR Energy, Inc.",34.83,3.50B,CVI,Oil & Gas Refining & Marketing,Energy
1544,WaterBridge Infrastructure LLC,28.34,3.50B,WBI,Oil & Gas Equipment & Services,Energy
1545,"Greif, Inc.",84.86,3.48B,GEF.B,Packaging & Containers,Consumer Discretionary
1546,COPT Defense Properties,30.61,3.47B,CDP,REIT - Office,Real Estate
1547,GitLab Inc.,20.35,3.46B,GTLB,Software - Infrastructure,Technology
1548,"Miami International Holdings, Inc.",37.31,3.46B,MIAX,Capital Markets,Financials
1549,MakeMyTrip Limited,36.3,3.45B,MMYT,Travel Services,Consumer Discretionary
1550,NewAmsterdam Pharma Company N.V.,29.98,3.45B,NAMS,Biotechnology,Healthcare
1551,"Academy Sports and Outdoors, Inc.",53.51,3.45B,ASO,Specialty Retail,Consumer Discretionary
1552,VEON Ltd.,46.54,3.44B,VEON,Telecom Services,Communication Services
1553,Anbio Biotechnology,23.92,3.44B,NNNN,Medical Instruments & Supplies,Healthcare
1554,Sprott Inc.,135.34,3.44B,SII,Asset Management,Financials
1555,"Brighthouse Financial, Inc.",59.98,3.43B,BHF,Insurance - Life,Financials
1556,Kadant Inc.,290.66,3.43B,KAI,Specialty Industrial Machinery,Industrials
1557,Victoria's Secret & Co.,42.47,3.42B,VSCO,Apparel Retail,Consumer Discretionary
1558,"Inter & Co, Inc.",7.71,3.40B,INTR,Banks - Regional,Financials
1559,monday.com Ltd.,66.47,3.40B,MNDY,Software - Application,Technology
1560,"TransMedics Group, Inc.",99.05,3.40B,TMDX,Medical Devices,Healthcare
1561,"Alignment Healthcare, Inc.",16.62,3.40B,ALHC,Healthcare Plans,Healthcare
1562,"Kulicke and Soffa Industries, Inc.",64.68,3.38B,KLIC,Semiconductor Equipment & Materials,Technology
1563,LivaNova PLC,61.85,3.38B,LIVN,Medical Devices,Healthcare
1564,"Bath & Body Works, Inc.",16.8,3.38B,BBWI,Specialty Retail,Consumer Discretionary
1565,Garrett Motion Inc.,17.76,3.37B,GTX,Auto Parts,Consumer Discretionary
1566,"AXT, Inc.",60.63,3.37B,AXTI,Semiconductor Equipment & Materials,Technology
1567,Skeena Resources Limited,27.62,3.36B,SKE,Other Industrial Metals & Mining,Materials
1568,Centerra Gold Inc.,16.77,3.35B,CGAU,Gold,Materials
1569,StoneCo Ltd.,13.46,3.35B,STNE,Software - Infrastructure,Technology
1570,Herc Holdings Inc.,100.34,3.35B,HRI,Rental & Leasing Services,Industrials
1571,WSFS Financial Corporation,63.46,3.35B,WSFS,Banks - Regional,Financials
1572,"Commvault Systems, Inc.",76.08,3.35B,CVLT,Software - Application,Technology
1573,"Cactus, Inc.",48.39,3.33B,WHD,Oil & Gas Equipment & Services,Energy
1574,"CarGurus, Inc.",35.01,3.33B,CARG,Auto & Truck Dealerships,Consumer Discretionary
1575,Mechanics Bancorp,14.37,3.33B,MCHB,Banks - Regional,Financials
